3.333333e+01, 3.335000e+01, 3.336667e+01, 3.338333e+01, 3.340000e+01, 3.341667e+01, 3.343333e+01, 3.345000e+01, 3.346667e+01, 3.348333e+01, 3.350000e+01, 3.351667e+01, 3.353333e+01, 3.355000e+01, 3.356667e+01, 3.358333e+01, 3.360000e+01, 3.361667e+01, 3.363333e+01, 3.365000e+01,
3.366667e+01, 3.368333e+01, 3.370000e+01, 3.371667e+01, 3.373333e+01, 3.375000e+01, 3.376667e+01, 3.378333e+01, 3.380000e+01, 3.381667e+01, 3.383333e+01, 3.385000e+01, 3.386667e+01, 3.388333e+01, 3.390000e+01, 3.391667e+01, 3.393333e+01, 3.395000e+01, 3.396667e+01, 3.398333e+01,
34, 3.401667e+01, 3.403333e+01, 3.405000e+01, 3.406667e+01, 3.408333e+01, 3.410000e+01, 3.411667e+01, 3.413333e+01, 3.415000e+01, 3.416667e+01, 3.418333e+01, 3.420000e+01, 3.421667e+01, 3.423333e+01, 3.425000e+01, 3.426667e+01, 3.428333e+01, 3.430000e+01, 3.431667e+01,
3.433333e+01, 3.435000e+01, 3.436667e+01, 3.438333e+01, 3.440000e+01, 3.441667e+01, 3.443333e+01, 3.445000e+01, 3.446667e+01, 3.448333e+01, 3.450000e+01, 3.451667e+01, 3.453333e+01, 3.455000e+01, 3.456667e+01, 3.458333e+01, 3.460000e+01, 3.461667e+01, 3.463333e+01, 3.465000e+01,
3.466667e+01, 3.468333e+01, 3.470000e+01, 3.471667e+01, 3.473333e+01, 3.475000e+01, 3.476667e+01, 3.478333e+01, 3.480000e+01, 3.481667e+01, 3.483333e+01, 3.485000e+01, 3.486667e+01, 3.488333e+01, 3.490000e+01, 3.491667e+01, 3.493333e+01, 3.495000e+01, 3.496667e+01, 3.498333e+01,
35, 3.501667e+01, 3.503333e+01, 3.505000e+01, 3.506667e+01, 3.508333e+01, 3.510000e+01, 3.511667e+01, 3.513333e+01, 3.515000e+01, 3.516667e+01, 3.518333e+01, 3.520000e+01, 3.521667e+01, 3.523333e+01, 3.525000e+01, 3.526667e+01, 3.528333e+01, 3.530000e+01, 3.531667e+01,
3.533333e+01, 3.535000e+01, 3.536667e+01, 3.538333e+01, 3.540000e+01, 3.541667e+01, 3.543333e+01, 3.545000e+01, 3.546667e+01, 3.548333e+01, 3.550000e+01, 3.551667e+01, 3.553333e+01, 3.555000e+01, 3.556667e+01, 3.558333e+01, 3.560000e+01, 3.561667e+01, 3.563333e+01, 3.565000e+01,
3.566667e+01, 3.568333e+01, 3.570000e+01, 3.571667e+01, 3.573333e+01, 3.575000e+01, 3.576667e+01, 3.578333e+01, 3.580000e+01, 3.581667e+01, 3.583333e+01, 3.585000e+01, 3.586667e+01, 3.588333e+01, 3.590000e+01, 3.591667e+01, 3.593333e+01, 3.595000e+01, 3.596667e+01, 3.598333e+01,
36, 3.601667e+01, 3.603333e+01, 3.605000e+01, 3.606667e+01, 3.608333e+01, 3.610000e+01, 3.611667e+01, 3.613333e+01, 3.615000e+01, 3.616667e+01, 3.618333e+01, 3.620000e+01, 3.621667e+01, 3.623333e+01, 3.625000e+01, 3.626667e+01, 3.628333e+01, 3.630000e+01, 3.631667e+01,
3.633333e+01, 3.635000e+01, 3.636667e+01, 3.638333e+01, 3.640000e+01, 3.641667e+01, 3.643333e+01, 3.645000e+01, 3.646667e+01, 3.648333e+01, 3.650000e+01, 3.651667e+01, 3.653333e+01, 3.655000e+01, 3.656667e+01, 3.658333e+01, 3.660000e+01, 3.661667e+01, 3.663333e+01, 3.665000e+01,
